fecha	archivo	algoritmo	nulos	tipo_umbral	num.trees	vmin.node.size	umbral_promedio	ganancia_promedio	tiempo_promedio	ganancias	umbrales				
20170312 234527	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	100.00	0.06633333	1689444.00	18.08827	1500000.00	1768333.00	1800000.00	71.00	75.00	53.00
20170312 225019	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	2000.00	0.03125	1688611.00	9.577247	1496667.00	1759167.00	1810000.00			
20170312 224828	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	3000.00	0.03125	1687778.00	9.575815	1348333.00	1835000.00	1880000.00			
20170312 231252	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	20.00	10000.00	0.03125	1685000.00	11.94671	1477500.00	1898333.00	1679167.00			
20170312 235515	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	50.00	10000.00	0.02833333	1677500.00	25.10056	1585000.00	1624167.00	1823333.00	31.00	26.00	28.00
20170312 233720	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	20.00	300.00	0.03125	1660556.00	17.31273	1440000.00	1753333.00	1788333.00			
20170312 232304	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	20.00	1000.00	0.03125	1660000.00	16.1282	1333333.00	1833333.00	1813333.00			
20170312 234015	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	20.00	200.00	0.03125	1658611.00	17.07843	1554167.00	1682500.00	1739167.00			
20170312 235249	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	50.00	10000.00	0.03125	1652778.00	25.30316	1468333.00	1735000.00	1755000.00			
20170312 233039	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	700.00	0.04133333	1650556.00	16.76726	1552500.00	1731667.00	1667500.00	51.00	33.00	0.04
20170312 235125	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	20.00	0.06966667	1649167.00	17.53525	1636667.00	1560000.00	1750833.00	75.00	57.00	77.00
20170312 230339	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	300.00	0.04766667	1648611.00	10.7219	1433333.00	1602500.00	1910000.00	0.05	44.00	49.00
20170312 224459	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	10000.00	0.03125	1645000.00	8.2317	1548333.00	1865000.00	1521667.00			
