resultados/ganancia_ranger.100.tsv:20170313 234532	umbral_estimado	100.00	200.00	0.04	1931389.00	72.88	1616667.00	2106667.00	2070833.00	58.00	41.00	35.00
resultados/ganancia_ranger.500.3.tsv:20170316 112728	umbral_estimado	500.00	600.00	0.04	1930556.00	330.30	1677500.00	2098333.00	2015833.00	0.03	0.05	0.05
resultados/ganancia_ranger.800.2.tsv:20170317 154847	umbral_fijo	800.00	600.00	0.03	1929444.00	565.44	1775000.00	2096667.00	1916667.00			
resultados/ganancia_ranger.800.2.tsv:20170317 111409	umbral_fijo	800.00	2000.00	0.03	1923056.00	556.02	1776667.00	2050833.00	1941667.00			
resultados/ganancia_ranger.500.2.tsv:20170315 182936	umbral_estimado	500.00	800.00	0.04	1921111.00	350.84	1625000.00	2218333.00	1920000.00	0.03	0.04	0.04
resultados/ganancia_ranger.100.tsv:20170313 222248	umbral_fijo	100.00	3000.00	0.03	1921111.00	64.99	1802500.00	2051667.00	1909167.00			
resultados/ganancia_ranger.0-50.tsv:20170312 235933	umbral_estimado	50.00	5000.00	0.03	1921111.00	28.16	1696667.00	2160833.00	1905833.00	29.00	29.00	31.00
resultados/ganancia_ranger.1.tsv:20170312 235933	umbral_estimado	50.00	5000.00	0.03	1921111.00	28.16	1696667.00	2160833.00	1905833.00	0.03	0.03	0.03
resultados/ganancia_ranger.500.2.tsv:20170315 162110	umbral_estimado	500.00	3000.00	0.03	1920278.00	274.68	1818333.00	2115833.00	1826667.00	0.03	0.03	0.03
resultados/ganancia_ranger.500.2.tsv:20170315 174215	umbral_estimado	500.00	1000.00	0.03	1919722.00	326.25	1665000.00	2108333.00	1985833.00	0.03	0.03	0.04
resultados/ganancia_ranger.200.tsv:20170314 142050	umbral_fijo	200.00	700.00	0.03	1918333.00	138.87	1790000.00	2080833.00	1884167.00			
resultados/ganancia_ranger.500.3.tsv:20170316 121536	umbral_estimado	500.00	500.00	0.04	1917222.00	368.69	1668333.00	2087500.00	1995833.00	0.03	0.04	0.05
resultados/ganancia_ranger.500.3.tsv:20170316 134443	umbral_estimado	500.00	200.00	0.04	1913889.00	329.05	1684167.00	2085833.00	1971667.00	0.03	0.04	0.03
resultados/ganancia_ranger.100.tsv:20170313 223205	umbral_fijo	100.00	2000.00	0.03	1913889.00	69.29	1797500.00	2065000.00	1879167.00			
resultados/ganancia_ranger.200.tsv:20170314 132156	umbral_estimado	200.00	3000.00	0.03	1910000.00	114.73	1744167.00	2142500.00	1843333.00	0.03	0.03	0.03
resultados/ganancia_ranger.500.3.tsv:20170316 144642	umbral_fijo	500.00	50.00	0.03	1908611.00	360.72	1653333.00	2058333.00	2014167.00			
resultados/ganancia_ranger.800.2.tsv:20170317 132916	umbral_fijo	800.00	800.00	0.03	1907500.00	506.69	1744167.00	2030833.00	1947500.00			
resultados/ganancia_ranger.800.2.tsv:20170317 143553	umbral_fijo	800.00	700.00	0.03	1907222.00	513.77	1785000.00	2028333.00	1908333.00			
resultados/ganancia_ranger.100.tsv:20170313 233005	umbral_fijo	100.00	300.00	0.03	1906944.00	72.57	1704167.00	2111667.00	1905000.00			
resultados/ganancia_ranger.200.tsv:20170314 125801	umbral_fijo	200.00	5000.00	0.03	1905000.00	107.65	1785000.00	2181667.00	1748333.00			
resultados/ganancia_ranger.100.tsv:20170314 000341	umbral_estimado	100.00	50.00	54.00	1905000.00	64.23	1669167.00	1987500.00	2058333.00	51.00	62.00	49.00
resultados/ganancia_ranger.500.2.tsv:20170315 155913	umbral_fijo	500.00	3000.00	0.03	1903889.00	285.66	1793333.00	2045833.00	1872500.00			
resultados/ganancia_ranger.500.2.tsv:20170315 171628	umbral_fijo	500.00	1000.00	0.03	1903611.00	311.50	1781667.00	2012500.00	1916667.00			
resultados/ganancia_ranger.0-50.tsv:20170313 000904	umbral_estimado	50.00	2000.00	34.00	1902500.00	32.85	1773333.00	2138333.00	1795833.00	31.00	36.00	35.00
